2002,Richard Gere
2002,Nicolas Cage
2002,Kieran Culkin
2002,Hugh Grant
2002,Adam Sandler
2003,Bill Murray
2003,Jack Black
2003,Johnny Depp
2003,Jack Nicholson
2003,Billy Bob Thornton
2004,Jamie Foxx
2004,Jim Carrey
2004,Paul Giamatti
2004,Kevin Kline
2004,Kevin Spacey
2005,Joaquin Phoenix
2005,Pierce Brosnan
2005,Jeff Daniels
2005,Johnny Depp
2005,Nathan Lane
2005,Cillian Murphy
2006,Sacha Baron Cohen
2006,Johnny Depp
2006,Aaron Eckhart
2006,Chiwetel Ejiofor
2006,Will Ferrell
2007,Johnny Depp
2007,Ryan Gosling
2007,Tom Hanks
2007,Philip Seymour Hoffman
2007,John C. Reilly
2008,Colin Farrell
2008,Javier Bardem
2008,James Franco
2008,Brendan Gleeson
2008,Dustin Hoffman
2009,"Robert Downey, Jr."
2009,Matt Damon
2009,Daniel Day-Lewis
2009,Joseph Gordon-Levitt
2009,Michael Stuhlbarg
2010,Paul Giamatti
2010,Johnny Depp
2010,Jake Gyllenhaal
2010,Kevin Spacey
2011,Jean Dujardin
2011,Brendan Gleeson
2011,Joseph Gordon-Levitt
2011,Ryan Gosling
2011,Owen Wilson
2012,Hugh Jackman
2012,Jack Black
2012,Bradley Cooper
2012,Ewan McGregor
2012,Bill Murray
2013,Leonardo DiCaprio
2013,Christian Bale
2013,Bruce Dern
2013,Oscar Isaac
2013,Joaquin Phoenix
2014,Michael Keaton
2014,Ralph Fiennes
2014,Bill Murray
2014,Joaquin Phoenix
2014,Christoph Waltz
2015,Matt Damon
2015,Christian Bale
2015,Steve Carell
2015,Al Pacino
2015,Mark Ruffalo
2016,Ryan Gosling
2016,Colin Farrell
2016,Hugh Grant
2016,Jonah Hill
2016,Ryan Reynolds
