2002,Renée Zellweger
2002,Salma Hayek
2002,Nicole Kidman
2002,Diane Lane
2002,Julianne Moore
2003,Charlize Theron
2003,Patricia Clarkson
2003,Diane Keaton
2003,Naomi Watts
2003,Evan Rachel Wood
2004,Hilary Swank
2004,Annette Bening
2004,Catalina Sandino Moreno
2004,Imelda Staunton
2004,Kate Winslet
2005,Reese Witherspoon
2005,Judi Dench
2005,Felicity Huffman
2005,Charlize Theron
2005,Ziyi Zhang
2006,Helen Mirren
2006,Penélope Cruz
2006,Judi Dench
2006,Meryl Streep
2006,Kate Winslet
2007,Julie Christie
2007,Cate Blanchett
2007,Marion Cotillard
2007,Angelina Jolie
2007,Ellen Page
2008,Meryl Streep
2008,Anne Hathaway
2008,Angelina Jolie
2008,Melissa Leo
2008,Kate Winslet
2009,Sandra Bullock
2009,Helen Mirren
2009,Carey Mulligan
2009,Gabourey Sidibe
2009,Meryl Streep
2010,Natalie Portman
2010,Annette Bening
2010,Nicole Kidman
2010,Jennifer Lawrence
2010,Hilary Swank
2011,Viola Davis
2011,Glenn Close
2011,Meryl Streep
2011,Tilda Swinton
2011,Michelle Williams
2012,Jennifer Lawrence
2012,Jessica Chastain
2012,Marion Cotillard
2012,Helen Mirren
2012,Naomi Watts
2013,Cate Blanchett
2013,Sandra Bullock
2013,Judi Dench
2013,Meryl Streep
2013,Emma Thompson
2014,Julianne Moore
2014,Jennifer Aniston
2014,Felicity Jones
2014,Rosamund Pike
2014,Reese Witherspoon
2015,Brie Larson
2015,Cate Blanchett
2015,Helen Mirren
2015,Saoirse Ronan
2015,Sarah Silverman
2016,Emma Stone
2016,Amy Adams
2016,Emily Blunt
2016,Natalie Portman
2016,Meryl Streep
