Actress,Oscar - Lost,Oscar - Won,GG (Drama) - Won,GG (Drama) - Lost,GG (Musical) - Won,GG (Musical) - Lost,CC - Won,CC - Lost,SAG - Won,SAG - Lost,BAFTA - Won,BAFTA - Lost
Nicole Kidman,2,1,1,4,2,0,1,4,0,2,1,2
Salma Hayek,1,0,0,1,0,0,0,1,0,1,0,1
Diane Lane,1,0,0,1,0,1,0,1,0,1,0,0
Julianne Moore,2,1,1,2,0,3,2,0,1,2,1,2
Renée Zellweger,2,0,0,0,2,3,0,0,1,1,0,2
Charlize Theron,1,1,1,1,0,1,1,3,1,1,0,2
Keisha Castle-Hughes,1,0,0,0,0,0,0,0,0,0,0,0
Diane Keaton,3,1,0,4,2,2,0,1,0,2,1,2
Samantha Morton,1,0,0,0,0,0,0,1,0,0,0,0
Naomi Watts,2,0,0,1,0,0,0,2,0,2,0,1
Hilary Swank,0,2,2,0,0,0,2,0,1,2,0,1
Annette Bening,3,0,0,2,2,2,0,2,1,2,1,1
Catalina Sandino Moreno,1,0,0,0,0,0,0,1,0,1,0,0
Imelda Staunton,1,0,0,1,0,0,0,1,0,1,1,0
Kate Winslet,3,1,0,3,0,2,0,2,0,4,1,3
Reese Witherspoon,1,1,0,1,1,2,1,1,1,1,1,1
Judi Dench,5,0,1,3,0,2,0,3,0,5,2,3
Felicity Huffman,1,0,1,0,0,0,0,1,0,1,0,0
Keira Knightley,1,0,0,1,0,1,0,1,0,0,0,1
Charlize Theron,1,1,1,1,0,1,1,3,1,1,0,2
Helen Mirren,1,1,1,2,0,2,1,0,1,3,1,3
Penélope Cruz,1,0,0,1,0,0,0,1,0,1,0,1
Judi Dench,5,0,1,3,0,2,0,3,0,5,2,3
Meryl Streep,13,2,3,10,2,7,0,3,1,9,2,10
Kate Winslet,3,1,0,3,0,2,0,2,0,4,1,3
Marion Cotillard,1,1,0,1,1,1,0,3,0,2,1,1
Cate Blanchett,3,1,2,3,0,1,2,3,1,3,2,2
Julie Christie,3,1,1,1,0,1,1,0,1,0,0,3
Laura Linney,2,0,0,1,0,1,0,0,0,1,0,0
Ellen Page,1,0,0,0,0,1,0,1,0,1,0,1
Kate Winslet,3,1,0,3,0,2,0,2,0,4,1,3
Anne Hathaway,1,0,0,1,0,1,0,0,0,1,0,0
Angelina Jolie,1,0,0,2,0,1,0,2,0,2,0,1
Melissa Leo,1,0,0,0,0,0,0,1,0,1,0,0
Meryl Streep,13,2,3,10,2,7,0,3,1,9,2,10
Sandra Bullock,1,1,1,1,0,3,0,1,1,1,0,1
Helen Mirren,1,1,1,2,0,2,1,0,1,3,1,3
Carey Mulligan,1,0,0,1,0,0,0,1,0,1,1,0
Gabourey Sidibe,1,0,0,1,0,0,0,1,0,1,0,1
Meryl Streep,13,2,3,10,2,7,0,3,1,9,2,10
Natalie Portman,0,1,1,0,0,0,1,0,1,1,1,1
Annette Bening,3,0,0,2,2,2,0,2,1,2,1,1
Nicole Kidman,2,1,1,4,2,0,1,4,0,2,1,2
Jennifer Lawrence,2,1,0,1,2,0,0,3,1,1,0,1
Michelle Williams,2,0,0,1,1,0,0,2,0,1,0,1
Meryl Streep,13,2,3,10,2,7,0,3,1,9,2,10
Glenn Close,3,0,0,2,0,2,0,0,0,1,0,1
Viola Davis,1,0,0,1,0,0,1,0,1,0,0,1
Rooney Mara,1,0,0,2,0,0,0,0,0,0,0,0
Michelle Williams,2,0,0,1,1,0,0,2,0,1,0,1
Jennifer Lawrence,2,1,0,1,2,0,0,3,1,1,0,1
Jessica Chastain,1,0,1,0,0,0,1,0,0,1,0,1
Emmanuelle Riva,1,0,0,0,0,0,0,1,0,0,1,0
Quvenzhané Wallis,1,0,0,0,0,1,0,1,0,0,0,0
Naomi Watts,2,0,0,1,0,0,0,2,0,2,0,1
Cate Blanchett,3,1,2,3,0,1,2,3,1,3,2,2
Amy Adams,1,0,0,0,2,1,0,1,0,1,0,3
Sandra Bullock,1,1,1,1,0,3,0,1,1,1,0,1
Judi Dench,5,0,1,3,0,2,0,3,0,5,2,3
Meryl Streep,13,2,3,10,2,7,0,3,1,9,2,10
Julianne Moore,2,1,1,2,0,3,2,0,1,2,1,2
Marion Cotillard,1,1,0,1,1,1,0,3,0,2,1,1
Felicity Jones,1,0,0,1,0,0,0,1,0,1,0,1
Rosamund Pike,1,0,0,1,0,0,0,1,0,1,0,1
Reese Witherspoon,1,1,0,1,1,2,1,1,1,1,1,1
Brie Larson,0,1,1,0,0,0,1,1,1,0,1,0
Cate Blanchett,3,1,2,3,0,1,2,3,1,3,2,2
Jennifer Lawrence,2,1,0,1,2,0,0,3,1,1,0,1
Charlotte Rampling,1,0,0,0,0,0,0,1,0,0,0,0
Saoirse Ronan,1,0,0,1,0,0,0,2,0,1,0,2
Natalie Portman,0,1,1,0,0,0,1,0,1,1,1,1
Meryl Streep,13,2,3,10,2,7,0,3,1,9,2,10
