"","Name","pred.probs","OscarWon","Year"
"1","Julianne Moore",2.22044604925031e-16,0,2002
"2","Salma Hayek",2.22044604925031e-16,0,2002
"3","Nicole Kidman",1,1,2002
"4","Diane Lane",2.22044604925031e-16,0,2002
"5","Renée Zellweger",0.500000000000006,0,2002
"6","Naomi Watts",2.22044604925031e-16,0,2003
"7","Samantha Morton",2.22044604925031e-16,0,2003
"8","Diane Keaton",5.32630776331844e-10,0,2003
"9","Charlize Theron",0.666666666666668,1,2003
"10","Hilary Swank",0.666666666666668,1,2004
"11","Catalina Sandino Moreno",2.22044604925031e-16,0,2004
"12","Imelda Staunton",1.57977876949272e-09,0,2004
"13","Annette Bening",5.32630776331844e-10,0,2004
"14","Kate Winslet",2.22044604925031e-16,0,2004
"15","Judi Dench",2.22044604925031e-16,0,2005
"16","Keira Knightley",2.22044604925031e-16,0,2005
"17","Felicity Huffman",0.333333333333338,0,2005
"18","Reese Witherspoon",0.999999998878533,1,2005
"19","Charlize Theron",2.22044604925031e-16,0,2005
"20","Judi Dench",2.22044604925031e-16,0,2006
"21","Penélope Cruz",2.22044604925031e-16,0,2006
"22","Meryl Streep",5.32630776331844e-10,0,2006
"23","Helen Mirren",1,1,2006
"24","Kate Winslet",2.22044604925031e-16,0,2006
"25","Marion Cotillard",0.999999995514132,1,2007
"26","Ellen Page",2.22044604925031e-16,0,2007
"27","Cate Blanchett",2.22044604925031e-16,0,2007
"28","Julie Christie",0.666666666666668,0,2007
"29","Angelina Jolie",2.22044604925031e-16,0,2008
"30","Meryl Streep",2.22044604925031e-16,0,2008
"31","Anne Hathaway",2.22044604925031e-16,0,2008
"32","Kate Winslet",0.333333333333338,1,2008
"33","Melissa Leo",2.22044604925031e-16,0,2008
"34","Sandra Bullock",0.999999998934738,1,2009
"35","Meryl Streep",2.22044604925031e-16,0,2009
"36","Helen Mirren",2.22044604925031e-16,0,2009
"37","Carey Mulligan",1.57977876949272e-09,0,2009
"38","Gabourey Sidibe",2.22044604925031e-16,0,2009
"39","Michelle Williams",2.22044604925031e-16,0,2010
"40","Natalie Portman",1,1,2010
"41","Nicole Kidman",2.22044604925031e-16,0,2010
"42","Annette Bening",5.32630776331844e-10,0,2010
"43","Jennifer Lawrence",2.22044604925031e-16,0,2010
"44","Michelle Williams",5.32630776331844e-10,0,2011
"45","Glenn Close",2.22044604925031e-16,0,2011
"46","Rooney Mara",2.22044604925031e-16,0,2011
"47","Meryl Streep",1,1,2011
"48","Viola Davis",2.22044604925031e-16,0,2011
"49","Naomi Watts",2.22044604925031e-16,0,2012
"50","Emmanuelle Riva",1.57977876949272e-09,0,2012
"51","Jennifer Lawrence",0.500000000000006,1,2012
"52","Quvenzhané Wallis",2.22044604925031e-16,0,2012
"53","Jessica Chastain",1.06526155209628e-09,0,2012
"54","Judi Dench",2.22044604925031e-16,0,2013
"55","Cate Blanchett",1,1,2013
"56","Amy Adams",5.32630776331844e-10,0,2013
"57","Sandra Bullock",2.22044604925031e-16,0,2013
"58","Meryl Streep",2.22044604925031e-16,0,2013
"59","Marion Cotillard",2.22044604925031e-16,0,2014
"60","Julianne Moore",1,1,2014
"61","Rosamund Pike",2.22044604925031e-16,0,2014
"62","Felicity Jones",2.22044604925031e-16,0,2014
"63","Reese Witherspoon",2.22044604925031e-16,0,2014
"64","Jennifer Lawrence",5.32630776331844e-10,0,2015
"65","Cate Blanchett",2.22044604925031e-16,0,2015
"66","Charlotte Rampling",2.22044604925031e-16,0,2015
"67","Brie Larson",1,1,2015
"68","Saoirse Ronan",2.22044604925031e-16,0,2015
"69","Isabelle Huppert",0.333333333333338,0,2016
"70","Natalie Portman",2.22044604925031e-16,0,2016
"71","Ruth Negga",2.22044604925031e-16,0,2016
"72","Meryl Streep",2.22044604925031e-16,0,2016
"73","Emma Stone",1,1,2016
