Director,OscarLost,OscarWon,GGWon,GGLost,CCWon,CCLost,BAFTAWon,BAFTALost,Winner
Roman Polanski,2,1,1,1,0,0,2,0,1
Pedro Almodóvar,1,0,0,0,0,0,1,0,0
Stephen Daldry,3,0,0,2,0,1,0,3,0
Rob Marshall,1,0,0,1,1,0,0,1,0
Martin Scorsese,7,1,3,5,0,0,1,8,0
Peter Jackson,1,1,1,3,0,0,1,2,1
Sofia Coppola,1,0,0,1,1,2,0,1,0
Clint Eastwood,2,2,3,4,0,4,0,2,0
Fernando Meirelles,1,0,0,1,0,0,0,1,0
Peter Weir,4,0,0,4,1,1,2,1,0
Clint Eastwood,2,2,3,4,0,4,0,2,1
Taylor Hackford,1,0,0,0,2,4,0,0,0
Mike Leigh,2,0,0,0,1,0,1,1,0
Alexander Payne,3,0,0,4,0,2,0,0,0
Martin Scorsese,7,1,3,5,0,0,1,8,0
Ang Lee,1,2,2,2,1,1,2,2,1
George Clooney,1,0,0,2,0,1,0,1,0
Paul Haggis,1,0,0,0,0,2,0,1,0
Bennett Miller,1,0,0,0,0,0,0,1,0
Steven Spielberg,5,2,2,9,0,1,1,5,0
Martin Scorsese,7,1,3,5,0,0,1,8,1
Clint Eastwood,2,2,3,4,0,4,0,2,0
Stephen Frears,2,0,0,1,0,1,0,2,0
Paul Greengrass,1,0,0,1,0,0,1,2,0
Alejandro G. Iñárritu,1,0,1,1,0,2,1,1,0
Joel Coen,2,1,2,0,1,1,2,0,1
Paul Thomas Anderson,1,0,0,0,0,1,0,1,0
Tony Gilroy,1,0,0,0,0,1,0,0,0
Jason Reitman,2,0,0,1,0,1,0,0,0
Julian Schnabel,1,0,1,0,0,0,0,0,0
Danny Boyle,0,1,1,0,1,1,1,1,1
Stephen Daldry,3,0,0,2,0,1,0,3,0
David Fincher,2,0,1,2,1,2,1,1,0
Ron Howard,1,1,0,3,0,1,0,2,0
Gus Van Sant,2,0,0,0,0,1,0,0,0
Kathryn Bigelow,0,1,0,2,0,1,1,1,1
James Cameron,1,1,2,0,1,1,0,2,0
Lee Daniels,1,0,0,0,0,1,0,0,0
Jason Reitman,2,0,0,1,0,1,0,0,0
Quentin Tarantino,2,0,0,3,0,0,0,3,0
Tom Hooper,0,1,0,1,0,0,0,1,1
Darren Aronofsky,1,0,0,1,0,1,0,1,0
Joel Coen,2,1,2,0,1,1,2,0,0
David Fincher,2,0,1,2,1,2,1,1,0
David O. Russell,3,0,0,2,0,2,0,1,0
Michel Hazanavicius,0,1,0,1,0,0,1,0,1
Woody Allen,6,1,0,5,0,1,2,2,0
Terrence Malick,2,0,0,1,0,1,0,0,0
Alexander Payne,3,0,0,4,0,2,0,0,0
Martin Scorsese,7,1,3,5,0,0,1,8,0
Ang Lee,1,2,2,2,1,1,2,2,1
Michael Haneke,1,0,0,0,1,1,0,1,0
David O. Russell,3,0,0,2,0,2,0,1,0
Steven Spielberg,5,2,2,9,0,1,1,5,0
Benh Zeitlin,1,0,0,0,0,0,0,0,0
Alfonso Cuarón,0,1,1,0,1,0,1,0,1
Steve McQueen,1,0,0,1,0,1,0,1,0
Alexander Payne,3,0,0,4,0,2,0,0,0
David O. Russell,3,0,0,2,0,2,0,1,0
Martin Scorsese,7,1,3,5,0,0,1,8,0
Alejandro G. Iñárritu,1,0,1,1,0,2,1,1,1
Wes Anderson,0,0,0,1,0,0,0,1,0
Richard Linklater,0,0,1,0,0,1,1,0,0
Bennett Miller,1,0,0,0,0,0,0,1,0
Morten Tyldum,0,0,0,0,0,0,0,0,0
Alejandro G. Iñárritu,1,0,1,1,0,2,1,1,1
Lenny Abrahamson,0,0,0,0,0,1,0,0,0
Tom McCarthy,0,0,0,1,0,2,0,0,0
Adam McKay,0,0,0,0,0,0,0,1,0
George Miller,0,0,0,1,1,0,0,0,0
Damien Chazelle,0,0,1,0,1,0,0,1,1
Mel Gibson,0,1,1,1,2,3,0,1,0
Barry Jenkins,0,0,0,1,0,1,0,0,0
Kenneth Lonergan,0,0,0,1,1,1,0,0,0
Denis Villeneuve,0,0,0,0,0,1,0,0,0
